id_person,Culture,Location,n_recordings,f0_mean_hz,f0_sd_hz,f1_mean_hz,f2_mean_hz,f3_mean_hz,f4_mean_hz,vtl_proxy_hz
1,Afr-Colombians,Colombia,1,229.9472589,42.31554526,715.377,1569.503,2594.823,3946.798,1841.4606393078188
1,Arawak,Guyana,1,176.8591892,29.33117496,599.589,1911.482,2968.183,4132.458,1936.3361245477577
1,Jenu Kurubas,India,1,293.997803,74.7045788,569.691,1686.557,2781.343,4034.268,1812.0280631430162
1,Kalahari,Papua New Guinea,1,258.5720317,37.54382436,641.941,1335.817,2639.559,3434.117,1669.7334036283708
1,Krakow,Poland,1,262.3306135,56.9892682,567.832,1703.206,3163.215,4099.622,1881.8711833222524
1,Mbendjele,Republic of Congo,1,354.7564242,45.62386188,665.216,1690.629,2922.247,3942.082,1897.2012146609516
1,Mestizo,Colombia,1,287.1998182,31.59193665,803.681,1763.225,2819.756,3835.758,1978.625223935059
1,Nyangatom,Ethiopia,1,258.8568391,31.46791752,662.652,1662.008,2754.599,3820.481,1845.1163751299653
1,Rural Southern Poland,Poland,1,255.4879115,45.68538171,437.468,1783.372,3058.976,4021.589,1760.1127830628307
1,Sapara & Achuar,Ecuador,1,210.2370213,24.51734771,603.564,2072.21,3076.562,4261.784,2012.350147324295
1,Toposa,Ethiopia,1,266.1216964,70.53044753,687.198,2147.117,3029.507,3933.22,2047.6911303710556
1,Tsimane,Bolivia,1,198.7457522,31.84999041,587.978,1795.977,3093.727,4094.392,1912.4201621714717
1,Turku,Finland,1,267.752024,81.09971932,688.876,1871.375,3015.533,4080.877,1995.744159985416
1,Urban Beijing,China,1,197.7671885,41.35598088,608.348,1874.308,2991.9,4083.736,1931.965843477384
1,Urban San Diego,USA,1,268.8602978,87.8802311,618.253,1832.852,2958.32,4149.169,1931.1898761366417
1,Urban Toronto,Canada,1,199.4235683,93.52789866,581.547,1955.359,3000.715,4103.775,1934.438395972118
1,Urban Wellington,New Zealand,1,273.3591362,63.8954276,590.625,1546.716,2856.633,3994.394,1796.8297864947604
1,Vanuatu,Vanuatu,1,196.3464236,58.91607842,672.033,2061.615,3094.378,3874.471,2018.8125043674866
2,Arawak,Guyana,1,217.2974118,34.60499755,676.211,1654.32,2848.271,3648.913,1846.5524247700346
2,Hadza,Tanzania,1,238.5450538,33.9489526,546.961,1820.57,3096.136,4244.791,1901.997846868013
2,Jenu Kurubas,India,1,256.6663158,68.59003464,631.041,1820.625,2856.343,4156.562,1921.7888749928788
2,Kalahari,Papua New Guinea,1,289.9229915,86.80688393,617.403,1526.862,2699.424,3671.134,1748.2758802823737
2,Krakow,Poland,1,223.68739,77.25000537,602.252,1823.89,2854.405,4094.843,1892.9207651789218
2,Mbendjele,Republic of Congo,1,408.4622222,58.26822172,706.525,1734.157,2869.995,4018.207,1938.797041135008
2,Mentawai Islanders,Sumatra,1,216.8259167,45.40666885,702.456,1863.946,2955.411,4104.116,1996.2847602890743
2,Mestizo,Colombia,1,285.8429151,47.22590901,564.087,1841.912,2787.778,4134.252,1860.2337737416908
2,Nyangatom,Ethiopia,1,256.8079798,26.62243201,535.011,1895.019,2927.362,3885.737,1842.8141080701885
2,Quechua,Peru,1,156.4688462,15.29368296,597.998,2073.83,3207.356,4220.644,2024.1826280800065
2,Rural Southern Poland,Poland,1,294.4820879,75.63693261,572.808,1878.095,3059.32,4125.873,1919.6269931639922
2,Sapara & Achuar,Ecuador,1,161.4230541,48.79014772,477.965,1873.679,2949.837,4038.218,1807.2563775301485
2,Toposa,Ethiopia,1,275.2170313,51.3105267,527.405,1629.117,2975.94,3992.103,1787.4364369420957
2,Turku,Sweden,1,232.9923448,65.00906054,684.216,1870.727,3161.651,4208.554,2031.4803139082976
2,Urban Beijing,China,1,190.1467123,34.37160476,628.571,2174.129,3026.721,4352.958,2059.914188748836
2,Urban San Diego,USA,1,240.53875,87.24260295,546.026,2163.14,3002.566,4207.286,1965.3872629384753
2,Urban Toronto,Canada,1,213.8367763,81.00717841,565.015,1910.085,2985.466,4121.551,1908.9579846080956
2,Urban Wellington,New Zealand,1,263.0652764,98.49922524,651.076,1873.772,2947.117,4029.347,1950.9454202193178
2,Vanuatu,Vanuatu,1,213.3789024,39.79138711,618.99,1800.096,2805.986,3856.487,1863.4346544252548
