filename,f0_mean,f0_sd,f1_mean,f2_mean,f3_mean,f4_mean
ACO01B,229.420,42.245,715.377,1569.503,2594.823,3946.798
ACO02B,213.191,91.706,558.579,1677.681,2677.846,3768.737
ACO03B,172.830,28.342,693.917,1586.630,2819.901,3858.888
ACO04B,188.796,47.115,568.605,1882.393,2734.850,3925.026
ACO05B,213.023,37.677,629.118,1863.171,2718.564,3806.273
ACO08B,205.270,51.455,545.477,1756.161,2619.346,3871.410
ACO09B,229.186,25.138,605.252,1725.773,2892.030,3935.057
ACO10B,284.399,56.369,692.898,2073.910,2926.999,4070.884
ACO11B,209.804,53.711,599.472,1864.005,3011.666,4145.596
ACO12B,297.889,44.020,674.534,2020.376,2747.052,3906.374
ACO13B,206.851,41.551,572.629,1741.291,2772.760,3893.772
ACO14B,205.504,52.221,725.672,1973.355,2991.388,3835.319
ARA01B,175.947,29.422,599.589,1911.482,2968.183,4132.458
ARA02B,217.966,34.301,676.211,1654.320,2848.271,3648.913
ARA03B,213.092,38.180,679.625,1642.248,3002.824,3979.159
ARA04B,274.382,83.031,582.230,1851.788,2894.637,3875.289
ARA05B,229.873,68.104,623.564,1603.638,3139.440,3995.384
ARA06B,273.998,23.027,743.314,2068.872,3163.882,3986.592
ARA07B,260.931,72.698,631.296,1973.969,3187.251,4180.600
ARA08B,134.893,19.091,437.414,1789.414,2825.618,3762.269
ARA09B,235.633,97.079,586.850,1675.523,2807.627,3871.289
ARA10B,312.306,68.398,576.559,1807.333,3086.207,4212.043
ARA11B,256.687,61.378,697.901,1976.364,3077.078,4059.281
ARA12B,274.940,63.898,591.952,1964.120,3029.903,4175.291
BEJ01B,198.745,44.004,608.348,1874.308,2991.900,4083.736
BEJ02B,191.328,34.150,628.571,2174.129,3026.721,4352.958
BEJ03B,251.858,75.639,758.622,1791.219,3096.776,4160.200
BEJ04B,226.949,40.848,598.014,1606.954,3064.586,4003.637
BEJ05B,162.714,17.815,552.815,1593.238,3031.982,3866.562
BEJ06B,211.917,58.608,519.277,1741.584,2953.259,3986.250
BEJ07B,218.263,32.919,695.584,1942.364,3031.535,4135.520
BEJ08B,289.143,67.032,592.753,2109.847,3227.698,4396.397
BEJ09B,285.057,73.443,657.612,1636.524,2803.509,4055.190
BEJ10B,284.857,67.465,634.136,1865.796,2975.860,3889.185
BEJ11B,211.120,45.009,668.112,1863.374,3153.821,4056.656
BEJ12B,120.205,25.851,656.112,1643.359,2724.025,3736.837
BEJ13B,236.124,45.444,647.163,1726.007,3024.094,4013.732
BEJ14B,285.902,44.188,588.903,1552.983,2846.907,3863.364
BEJ15B,362.080,120.558,594.144,1407.181,2835.752,3894.550
BEJ16B,192.321,72.954,615.437,1714.647,2862.654,3869.193
BEJ17B,271.727,73.806,562.891,1969.491,3133.967,4166.213
BEJ18B,231.037,26.586,737.271,1803.295,3039.514,3983.923
BEJ19B,212.613,44.144,653.813,1748.366,3010.521,3818.258
BEJ20B,244.538,56.684,569.562,1720.296,2994.351,4058.201
BEJ21B,157.231,24.396,508.249,1479.655,2704.326,3820.033
BEJ22B,116.049,37.270,588.857,1492.908,2911.481,3862.217
BEJ23B,123.623,36.733,696.575,1519.988,2674.354,3589.073
BEJ24B,130.700,48.053,602.343,1454.690,2793.335,3846.251
BEJ25B,251.291,67.581,706.037,1609.526,2790.029,3788.448
