wp,activity,start_date,end_date
1. Diseño y preparación,1.1. Grabación muestras IDS,2,5
1. Diseño y preparación,1.3. Manipulación acústica estímulos,4,6
1. Diseño y preparación,1.4. Pruebas de eye-tracking (webcam),2,18
2. Estudio 1,2.1. Recolección de datos,7,14
2. Estudio 1,2.2. Análisis de eye-tracking,8,16
2. Estudio 1,2.3. Análisis de emociones y ritmo cardíaco (IA),10,18
2. Estudio 1,2.4. Análisis acústico de estímulos,4,9
3. Estudio 2,3.1. Desarrollo y despliegue de la plataforma web,9,11
3. Estudio 2,3.2. Recolección de datos,12,22
3. Estudio 2,3.3. Análisis acústico de IDS,13,24
3. Estudio 2,3.4. Análisis de cuestionarios (CDI y Music@Home),14,24
3. Estudio 2,3.4. Asociación IDS–lenguaje/música,18,26
4. Publicaciones,4.1. Análisis conjunto de resultados,25,27
4. Publicaciones,4.2. Escritura de artículos científicos,24,31
5. Divulgación y apropiación,5.1. Actividades de apropiación social y diseño de materiales,26,31

