"Block","f0_SD","f0_mean","Formant_freq","G1","G2","G3","G4"
"Block 1","Low","Low","Low","A (Duck)","B (Bear)","C (Duck)","D (Bear)"
"Block 1","Low","Low","High","B (Bear)","C (Duck)","D (Duck)","A (Bear)"
"Block 1","Low","High","Low","C (Duck)","D (Bear)","A (Bear)","B (Duck)"
"Block 1","Low","High","High","D (Bear)","A (Duck)","B (Bear)","C (Duck)"
"Block 1","High","Low","Low","A (Bear)","C (Duck)","D (Bear)","B (Duck)"
"Block 1","High","Low","High","B (Duck)","D (Bear)","A (Bear)","C (Duck)"
"Block 1","High","High","Low","C (Bear)","A (Duck)","B (Duck)","D (Bear)"
"Block 1","High","High","High","D (Duck)","B (Bear)","C (Duck)","A (Bear)"
"Block 2","Low","Low","Low","A (Bear)","B (Duck)","C (Bear)","D (Duck)"
"Block 2","Low","Low","High","B (Duck)","C (Bear)","D (Bear)","A (Duck)"
"Block 2","Low","High","Low","C (Bear)","D (Duck)","A (Duck)","B (Bear)"
"Block 2","Low","High","High","D (Duck)","A (Bear)","B (Duck)","C (Bear)"
"Block 2","High","Low","Low","A (Duck)","C (Bear)","D (Duck)","B (Bear)"
"Block 2","High","Low","High","B (Bear)","D (Duck)","A (Duck)","C (Bear)"
"Block 2","High","High","Low","C (Duck)","A (Bear)","B (Bear)","D (Duck)"
"Block 2","High","High","High","D (Bear)","B (Duck)","C (Bear)","A (Duck)"
